produto,preco,total_vendas,avaliacao,data_venda,tipo_produto,marca,garantia
Notebook,503.31,848,1.09,2023-10-15,Computador,Dell,12
Smartphone,2144.93,334,1.49,2024-01-10,Telefone,Apple,36
Tablet,1392.86,776,3.49,2024-05-25,Tablet,Samsung,36
Smartwatch,968.47,573,4.22,2024-01-02,Relógio,Garmin,36
Headphone,2153.79,404,3.29,2023-10-26,Acessório,Sony,12
Desktop,2427.81,874,2.95,2023-08-11,Computador,HP,24
Notebook,2414.01,441,1.77,2024-06-07,Computador,Dell,12
Smartphone,302.56,520,4.04,2024-07-01,Telefone,Apple,24
Tablet,2530.33,291,2.82,2024-05-22,Tablet,Samsung,36
Smartwatch,1193.64,267,3.94,2024-02-07,Relógio,Garmin,36
Headphone,2553.47,373,2.48,2024-03-25,Acessório,Sony,12
Desktop,2916.64,301,1.79,2023-09-21,Computador,HP,12
Notebook,817.04,972,4.75,2024-05-08,Computador,Dell,24
Smartphone,2175.23,543,2.25,2023-11-21,Telefone,Apple,24
Tablet,2165.11,668,4.96,2024-06-17,Tablet,Samsung,12
Smartwatch,1329.13,542,1.09,2023-08-02,Relógio,Garmin,12
Headphone,751.35,133,3.01,2023-08-24,Acessório,Sony,24
Desktop,1645.75,528,1.9,2023-12-24,Computador,HP,24
Notebook,2885.12,102,2.1,2024-07-16,Computador,Dell,12
Smartphone,804.64,860,1.27,2023-09-05,Telefone,Apple,36
Tablet,1824.4,417,2.27,2024-07-12,Tablet,Samsung,12
Smartwatch,1149.45,706,4.74,2024-02-15,Relógio,Garmin,24
Headphone,1042.56,925,1.75,2024-02-07,Acessório,Sony,12
Desktop,2739.34,118,3.98,2024-01-17,Computador,HP,24
Notebook,407.52,924,4.69,2023-08-31,Computador,Dell,12
Smartphone,2783.87,103,1.09,2024-02-14,Telefone,Apple,24
Tablet,1453.94,828,1.35,2023-11-01,Tablet,Samsung,12
Smartwatch,1020.43,419,1.14,2023-07-29,Relógio,Garmin,24
Headphone,1893.47,653,1.74,2024-04-22,Acessório,Sony,36
Desktop,1340.33,702,2.0,2024-02-09,Computador,HP,36
Notebook,1095.89,665,3.72,2023-11-26,Computador,Dell,12
Smartphone,2357.37,701,2.37,2024-03-20,Telefone,Apple,12
Tablet,1011.58,91,3.3,2023-11-25,Tablet,Samsung,24
Smartwatch,1371.84,514,1.2,2023-09-25,Relógio,Garmin,36
Headphone,2448.74,185,3.19,2023-08-15,Acessório,Sony,12
Desktop,2615.17,66,2.95,2023-08-01,Computador,HP,12
Notebook,1006.94,334,2.32,2024-07-10,Computador,Dell,24
Smartphone,2659.48,364,4.29,2023-11-09,Telefone,Apple,12
Tablet,2205.78,290,4.25,2023-07-24,Tablet,Samsung,24
Smartwatch,1939.03,575,1.69,2023-08-31,Relógio,Garmin,24
Headphone,1571.1,232,1.8,2024-01-03,Acessório,Sony,36
Desktop,2535.93,772,1.26,2024-05-08,Computador,HP,12
Notebook,2739.94,118,1.69,2024-02-16,Computador,Dell,24
Smartphone,2232.63,109,4.17,2023-09-17,Telefone,Apple,24
Tablet,617.29,847,1.9,2024-02-19,Tablet,Samsung,24
Smartwatch,657.11,365,2.29,2023-08-20,Relógio,Garmin,24
Headphone,1199.91,672,3.99,2024-03-31,Acessório,Sony,12
Desktop,1725.32,749,2.98,2024-03-21,Computador,HP,24
Notebook,1322.62,907,3.73,2023-12-09,Computador,Dell,12
Smartphone,2947.28,382,3.47,2023-08-19,Telefone,Apple,12
Tablet,854.72,135,4.79,2023-12-06,Tablet,Samsung,12
Smartwatch,843.99,67,2.59,2023-07-27,Relógio,Garmin,24
Headphone,1276.57,296,4.54,2024-06-11,Acessório,Sony,24
Desktop,1409.18,492,4.11,2024-04-02,Computador,HP,36
Notebook,516.43,331,2.86,2023-11-27,Computador,Dell,36
Smartphone,519.12,281,4.52,2024-04-27,Telefone,Apple,24
Tablet,363.47,934,3.65,2023-09-29,Tablet,Samsung,36
Smartwatch,2418.76,283,3.56,2024-01-25,Relógio,Garmin,12
Headphone,1115.72,457,1.38,2023-10-23,Acessório,Sony,36
Desktop,1083.64,458,4.43,2024-04-09,Computador,HP,24
